"Job Title","Rating","Job Location","Size","Type of ownership","Industry","Sector","Competitors","Hourly","Lower Salary","Upper Salary","Avg Salary(K)","Age","Python","excel","sql","sas","aws","tableau","job_title_sim","Degree"
"Senior Data Scientist",3.5,"CA","5001 - 10000","Company - Public","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","-1",0,115,180,147.5,151,1,1,0,0,0,0,"data scientist","M"
"Data Engineer",3.5,"NY","201 - 500","Company - Private","Insurance Carriers","Insurance","-1",0,74,138,106,36,1,1,1,0,0,0,"data engineer","M"
"Data Analyst",4.2,"CA","201 - 500","Company - Private","IT Services","Information Technology","BrowserStack, Selenium Master, Perfecto Mobile",0,64,112,88,13,1,1,1,0,1,1,"analyst","na"
"Data Engineer",3.6,"MA","1 - 50","Company - Private","-1","-1","-1",0,68,129,98.5,-1,0,1,1,0,0,0,"data engineer","na"
"Data Scientist - Algorithms & Inference",4.2,"CA","51 - 200","Company - Private","Enterprise Software & Network Solutions","Information Technology","-1",0,110,175,142.5,11,0,0,0,0,0,0,"data scientist","M"
"Scientist",3.4,"NJ","5001 - 10000","Company - Public","Consumer Products Manufacturing","Manufacturing","Unilever, Procter & Gamble, Henkel",0,52,113,82.5,6,0,0,0,0,1,0,"other scientist","M"
"Senior Data Scientist",4.3,"IL","1001 - 5000","Company - Public","Real Estate","Real Estate","UDR, AvalonBay Communities, Essex Property Trust",0,110,150,130,28,1,1,1,0,0,1,"data scientist","M"
"Data Scientist",5,"DC","unknown","Company - Private","Enterprise Software & Network Solutions","Information Technology","-1",0,150,160,155,-1,0,1,0,0,1,0,"data scientist","na"
"Lead Data Scientist",3.7,"WA","10000+","Company - Public","IT Services","Information Technology","American Express, Mastercard, Discover",0,158,211,184.5,63,1,1,1,1,0,1,"data scientist","na"
"Associate Data Analyst",3.1,"CO","5001 - 10000","Company - Private","Enterprise Software & Network Solutions","Information Technology","-1",0,20,39,29.5,35,0,1,0,0,0,0,"analyst","M"
"Spectral Scientist/Engineer",4.7,"OH","501 - 1000","Company - Private","Aerospace & Defense","Aerospace & Defense","TASC, Vencore, Booz Allen Hamilton",0,56,117,86.5,22,0,0,0,0,0,0,"other scientist","M"
"College Hire - Data Scientist - Open to December 2019 Graduates",3.7,"IL","10000+","Company - Public","Industrial Manufacturing","Manufacturing","John Deere, Komatsu, CNH Industrial",0,63,99,81,96,0,0,0,0,0,1,"data scientist","na"
"Data Scientist",3.8,"FL","501 - 1000","Subsidiary or Business Segment","Advertising & Marketing","Business Services","-1",0,68,114,91,37,1,1,1,0,0,1,"data scientist","na"
"Data Scientist, Office of Data Science",3.3,"MA","10000+","Company - Private","Insurance Carriers","Insurance","Travelers, Allstate, State Farm",0,86,143,114.5,109,1,0,0,0,0,0,"data scientist","na"
"Data Science Analyst",4.6,"AL","1001 - 5000","Company - Private","Aerospace & Defense","Aerospace & Defense","-1",0,41,95,68,19,1,1,0,0,0,1,"data scientist","na"
"Data Scientist",3.7,"NY","10000+","Company - Public","Insurance Agencies & Brokerages","Insurance","Munich Re, Hannover RE, SCOR",0,86,144,115,158,1,1,1,0,0,0,"data scientist","M"
"Data Scientist",3.7,"CA","10000+","Company - Public","Aerospace & Defense","Aerospace & Defense","-1",0,80,139,109.5,82,0,1,1,0,0,1,"data scientist","na"
"Data Scientist",3.5,"NM","5001 - 10000","Company - Public","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","-1",0,56,95,75.5,151,1,1,0,0,0,0,"data scientist","M"
"Data Scientist",4.1,"CA","501 - 1000","Company - Private","Enterprise Software & Network Solutions","Information Technology","Skyhigh Networks, Zscaler, NortonLifeLock",0,120,189,154.5,9,1,1,0,0,0,0,"data scientist","P"
"Data Scientist",4.7,"MO","51 - 200","Company - Private","IT Services","Information Technology","Slalom, Daugherty Business Solutions",0,111,176,143.5,5,1,0,1,0,0,0,"data scientist","na"
"Data Scientist",4.1,"MD","501 - 1000","Company - Private","Banks & Credit Unions","Finance","-1",0,54,93,73.5,13,0,1,0,0,0,0,"data scientist","na"
"Data Scientist",3.4,"TX","201 - 500","Company - Public","Real Estate","Real Estate","Digital Realty, CoreSite, Equinix",0,71,119,95,21,1,1,1,0,1,0,"data scientist","na"
"Senior Data Scientist",4.4,"OH","201 - 500","Subsidiary or Business Segment","Metals Brokers","Mining & Metals","-1",0,82,132,107,136,1,0,1,0,1,1,"data scientist","M"
"Data Scientist",4.3,"NY","201 - 500","Company - Private","Consulting","Business Services","-1",0,84,146,115,10,1,0,1,0,1,1,"data scientist","na"
"Senior Risk Data Scientist",3.8,"CA","501 - 1000","Company - Public","Financial Transaction Processing","Finance","-1",0,107,172,139.5,15,0,0,1,1,0,0,"data scientist","M"
"Data Scientist in Artificial Intelligence Early Career",3.8,"WA","1001 - 5000","Government","Energy","Oil, Gas, Energy & Utilities","Oak Ridge National Laboratory, National Renewable Energy Lab, Los Alamos National Laboratory",0,49,85,67,56,0,0,0,0,0,0,"data scientist","M"
"Data Scientist",3.8,"PA","10000+","Company - Public","Sporting Goods Stores","Retail","REI, Academy Sports + Outdoors, Cabela's",0,61,109,85,73,1,0,1,0,0,0,"data scientist","M"
"Data Scientist",2.8,"MA","51 - 200","Company - Private","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","-1",0,88,148,118,15,1,1,1,0,0,0,"data scientist","P"
"Data Scientist",4.7,"GA","51 - 200","Company - Private","Computer Hardware & Software","Information Technology","-1",0,60,99,79.5,18,1,1,1,0,0,0,"data scientist","na"
"Data Scientist - Research",3.1,"MA","201 - 500","Company - Public","Advertising & Marketing","Business Services","IDEO, Gongos, Inc., Ipsos",0,41,72,56.5,22,1,0,1,0,0,1,"data scientist","na"
"Data Scientist",3.2,"PA","1 - 50","Company - Private","Staffing & Outsourcing","Business Services","-1",0,96,161,128.5,-1,1,0,1,0,1,0,"data scientist","na"
"R&D Data Analysis Scientist",4,"WA","10000+","Company - Public","Computer Hardware & Software","Information Technology","-1",0,65,130,97.5,82,0,0,0,0,0,0,"other scientist","M"
"Analytics Consultant",4.4,"IN","1 - 50","Company - Private","Enterprise Software & Network Solutions","Information Technology","-1",0,52,81,66.5,6,1,0,0,0,0,1,"data analitics","na"
"Director, Data Science",3.6,"IL","10000+","Company - Public","Wholesale","Business Services","-1",0,139,220,179.5,94,1,1,1,1,0,0,"data scientist","M"
"Scientist",2.7,"MO","501 - 1000","Subsidiary or Business Segment","Research & Development","Business Services","-1",0,50,102,76,43,0,1,0,0,0,0,"other scientist","P"
"Data Scientist SR",3.9,"VA","501 - 1000","Company - Private","IT Services","Information Technology","ManTech, Booz Allen Hamilton, Leidos",0,85,139,112,11,1,0,1,0,0,0,"data scientist","M"
"Data Scientist",3.1,"PA","1001 - 5000","Company - Private","Mining","Mining & Metals","Lhoist, Graymont, Sibelco Group",0,74,122,98,161,1,0,0,0,0,0,"data scientist","M"
"R&D Sr Data Scientist",4,"WA","10000+","Company - Public","Computer Hardware & Software","Information Technology","-1",0,99,157,128,82,0,0,1,0,1,0,"data scientist","M"
"Customer Data Scientist/Sales Engineer (Bay",4.3,"CA","201 - 500","Company - Private","Enterprise Software & Network Solutions","Information Technology","-1",0,79,222,150.5,10,1,1,0,0,1,0,"data scientist","P"
"Research Scientist",1.9,"MA","51 - 200","Company - Private","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","-1",0,57,118,87.5,21,0,0,0,0,1,0,"other scientist","M"
"Data Scientist",3.3,"VA","1001 - 5000","Company - Private","Aerospace & Defense","Aerospace & Defense","-1",0,83,137,110,4,1,1,0,0,0,0,"data scientist","na"
"Data Scientist",4.4,"CA","10000+","Company - Private","IT Services","Information Technology","Infosys, EPAM, Accenture",0,86,141,113.5,26,1,1,0,0,0,0,"data scientist","na"
"Data Scientist",3.9,"CA","51 - 200","Company - Private","Health Care Services & Hospitals","Health Care","-1",0,94,154,124,5,1,0,1,0,0,0,"data scientist","na"
"Jr. Business Data Analyst",4.7,"PA","201 - 500","Company - Private","Advertising & Marketing","Business Services","-1",0,37,76,56.5,24,0,1,0,0,0,0,"analyst","na"
"Data Scientist",4.5,"MD","5001 - 10000","Nonprofit Organization","Aerospace & Defense","Aerospace & Defense","MIT Lincoln Laboratory, Lockheed Martin, Northrop Grumman",0,100,160,130,79,1,1,0,0,0,0,"data scientist","na"
"Data Analyst",4.3,"IL","51 - 200","Company - Private","Computer Hardware & Software","Information Technology","Numerator, Rise Interactive, Salom",0,55,100,77.5,13,0,1,1,0,0,0,"analyst","na"
"Data Engineer",4,"VA","201 - 500","Company - Private","Consulting","Business Services","-1",0,60,114,87,19,1,1,1,0,1,0,"data engineer","na"
"Data Analyst",4.4,"WA","501 - 1000","Company - Private","Wholesale","Business Services","-1",0,39,68,53.5,73,0,1,0,0,0,0,"analyst","na"
"Staff Data Scientist - Technology",3.2,"TX","10000+","Company - Public","Department, Clothing, & Shoe Stores","Retail","Target, Costco Wholesale, Amazon",0,106,172,139,59,0,0,1,0,0,0,"data scientist","M"
"Data Scientist",3.8,"CA","201 - 500","Company - Private","Consulting","Business Services","-1",0,86,142,114,16,1,1,1,0,1,0,"data scientist","M"
"Data Scientist",4.2,"FL","501 - 1000","Company - Private","Enterprise Software & Network Solutions","Information Technology","-1",0,64,107,85.5,13,1,1,1,0,0,0,"data scientist","na"
"Data Management Specialist",4.5,"AL","51 - 200","Company - Private","IT Services","Information Technology","-1",0,31,65,48,25,0,1,1,0,0,0,"na","na"
"E-Commerce Data Analyst",3.5,"LA","51 - 200","Company - Private","Enterprise Software & Network Solutions","Information Technology","-1",0,34,62,48,22,0,1,1,0,0,0,"analyst","na"
"Sr. Scientist II",3.5,"CA","201 - 500","Company - Public","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","Bristol-Myers Squibb, Merck, GlaxoSmithKline",0,117,231,174,31,0,1,0,0,0,0,"other scientist","M"
"Insurance Data Scientist",3.9,"GA","5001 - 10000","Company - Public","Financial Analytics & Research","Finance","-1",0,64,106,85,53,1,0,1,1,0,0,"data scientist","na"
"Data Modeler",4.7,"MD","51 - 200","Company - Private","IT Services","Information Technology","-1",0,79,134,106.5,18,0,0,0,0,0,0,"data modeler","na"
"Data Analyst / Scientist",4.2,"MD","1001 - 5000","Company - Private","IT Services","Information Technology","-1",0,52,93,72.5,33,0,1,0,0,0,0,"analyst","na"
"Scientist",3.4,"MD","10000+","Subsidiary or Business Segment","IT Services","Information Technology","SAIC, Leidos, Northrop Grumman",0,55,116,85.5,25,0,0,0,0,0,0,"other scientist","M"
"Data Scientist",3.2,"VA","5001 - 10000","Nonprofit Organization","Federal Agencies","Government","Battelle, General Atomics, SAIC",0,72,123,97.5,63,1,1,1,1,0,1,"data scientist","na"
"Data Scientist",3.9,"VA","501 - 1000","Company - Private","IT Services","Information Technology","ManTech, Booz Allen Hamilton, Leidos",0,74,124,99,11,1,1,0,0,0,1,"data scientist","na"
"Data Analyst",3.1,"WI","1001 - 5000","Company - Private","Insurance Carriers","Insurance","MCNA Dental Plans, United Concordia, Delta Dental Plans Association",0,40,73,56.5,20,0,1,1,0,0,0,"analyst","na"
"Lead Data Scientist",4.1,"MD","1 - 50","Company - Private","IT Services","Information Technology","-1",0,102,164,133,14,1,0,0,0,0,0,"data scientist","na"
"Data Scientist",3.8,"NY","51 - 200","Company - Private","Research & Development","Business Services","-1",0,89,153,121,9,1,0,0,0,0,0,"data scientist","na"
"Data Scientist",4.7,"NY","501 - 1000","Company - Private","Security Services","Business Services","COPS Monitoring, National Monitoring Center, Affiliated Monitoring",0,61,110,85.5,29,1,0,1,0,0,0,"data scientist","M"
"Data Scientist, Rice University",4.3,"TX","1001 - 5000","Subsidiary or Business Segment","Education Training Services","Education","General Assembly, Kaplan University, Ironhack",0,65,110,87.5,6,1,0,1,0,0,0,"data scientist","na"
"Senior Data Scientist",4.2,"DC","1001 - 5000","Company - Private","Consulting","Business Services","Advisory Board, Booz Allen Hamilton, McKinsey & Company",0,200,275,237.5,86,1,1,0,0,0,0,"data scientist","M"
"Data Engineer",3.9,"NC","1001 - 5000","Company - Private","IT Services","Information Technology","Accenture, North Highland, Deloitte",0,68,123,95.5,24,1,0,1,0,0,1,"data engineer","M"
"Senior Data Scientist",3.3,"MI","10000+","Company - Public","Transportation Equipment Manufacturing","Manufacturing","-1",0,80,129,104.5,27,1,1,1,0,1,0,"data scientist","M"
"Financial Data Analyst",4.7,"NJ","201 - 500","Company - Private","Computer Hardware & Software","Information Technology","DataFinch Technologies, Accupoint Software Solution, CodeMetro",0,41,72,56.5,9,0,1,1,0,0,1,"analyst","na"
"Senior Data Analyst",4.3,"AZ","201 - 500","Company - Private","Enterprise Software & Network Solutions","Information Technology","-1",0,39,71,55,11,0,1,1,0,0,0,"analyst","na"
"Research Scientist",2.9,"NE","1001 - 5000","Hospital","Health Care Services & Hospitals","Health Care","Nebraska Medicine, Children's Hospital & Medical Center, Methodist Health System - NE and IA",0,38,85,61.5,44,0,1,0,0,0,0,"other scientist","P"
"Data Scientist",4.5,"CA","201 - 500","Company - Private","Computer Hardware & Software","Information Technology","Engagio, Bombora, Terminus",0,121,193,157,15,0,0,0,0,1,0,"data scientist","na"
"Data Engineer",3.4,"NJ","201 - 500","Company - Private","Internet","Information Technology","Zocdoc, Healthgrades",0,54,102,78,2,1,0,1,0,0,0,"data engineer","na"
"Data Scientist",3.7,"MA","10000+","Company - Public","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","Novartis, Baxter, Pfizer",0,83,144,113.5,240,1,0,1,0,0,0,"data scientist","M"
"Data Scientist",4.6,"NY","51 - 200","Company - Private","Internet","Information Technology","Clicktripz, SmarterTravel",0,120,160,140,12,1,0,0,0,0,0,"data scientist","na"
"Data Scientist",3.2,"CA","51 - 200","Company - Private","Enterprise Software & Network Solutions","Information Technology","-1",0,102,163,132.5,6,0,1,0,0,0,0,"data scientist","M"
"Data Engineer",4,"CA","5001 - 10000","Company - Public","Computer Hardware & Software","Information Technology","-1",0,76,140,108,39,1,0,1,0,0,0,"data engineer","M"
"Ag Data Scientist",4.6,"IN","501 - 1000","Company - Private","Farm Support Services","Agriculture & Forestry","-1",0,60,101,80.5,84,0,0,0,0,0,0,"data scientist","na"
"Data Scientist",2.8,"MD","201 - 500","Company - Private","Health Care Services & Hospitals","Health Care","-1",0,82,133,107.5,21,1,0,0,0,0,0,"data scientist","M"
"Data Engineer",4.7,"MN","51 - 200","Company - Private","Consulting","Business Services","Solution Design Group, Intertech (Minnesota)",0,65,125,95,25,0,0,1,0,1,0,"data engineer","na"
"Data Scientist II",3,"CA","1001 - 5000","Nonprofit Organization","Health Care Services & Hospitals","Health Care","Health Net, Kaiser Permanente, Molina Healthcare",0,91,148,119.5,24,1,0,1,1,0,1,"data scientist","M"
"Senior Data Engineer",3.2,"NC","1001 - 5000","Company - Private","Advertising & Marketing","Business Services","Clearlink, Credit Karma, LendingTree",0,95,173,134,21,0,0,1,0,1,0,"data engineer","na"
"Data Scientist",4.4,"MA","201 - 500","Company - Private","Enterprise Software & Network Solutions","Information Technology","-1",0,77,124,100.5,22,1,1,1,0,0,1,"data scientist","na"
"Data Scientist",3.5,"OH","1001 - 5000","Company - Public","TV Broadcast & Cable Networks","Media","-1",0,80,135,107.5,143,1,0,1,0,0,1,"data scientist","M"
"Data Engineer",4,"DC","51 - 200","Company - Private","Internet","Information Technology","-1",0,85,159,122,6,1,0,1,0,1,0,"data engineer","na"
"Data Engineer",4.3,"IL","1001 - 5000","Company - Public","Real Estate","Real Estate","UDR, AvalonBay Communities, Essex Property Trust",0,80,105,92.5,28,1,1,1,0,0,0,"data engineer","na"
"Data Analyst",2.3,"MD","501 - 1000","Company - Private","Research & Development","Business Services","-1",0,43,81,62,35,0,1,1,0,0,0,"analyst","na"
"Project Scientist",4,"AL","51 - 200","Other Organization","Architectural & Engineering Services","Business Services","-1",0,29,50,39.5,21,0,0,0,0,0,0,"other scientist","na"
"Data Scientist",3.6,"CA","1001 - 5000","Company - Private","Industrial Manufacturing","Manufacturing","-1",0,82,133,107.5,55,0,1,0,0,0,1,"data scientist","M"
"Data Analytics Manager",3.8,"MO","501 - 1000","Company - Private","Staffing & Outsourcing","Business Services","-1",0,26,55,40.5,4,1,1,1,0,1,1,"Data scientist project manager","na"
"Senior Machine Learning (ML) Engineer / Data Scientist - Cyber Security Analytics",3.7,"VA","10000+","Company - Public","IT Services","Information Technology","American Express, Mastercard, Discover",0,61,118,89.5,63,1,0,1,0,0,1,"data scientist","M"
"Data Scientist",4.4,"IL","201 - 500","Company - Private","Consulting","Business Services","-1",0,60,102,81,13,1,1,1,0,1,1,"data scientist","na"
"Senior Data Scientist",4,"VA","501 - 1000","Company - Private","Enterprise Software & Network Solutions","Information Technology","Leidos, CACI International, Booz Allen Hamilton",0,112,182,147,9,1,0,0,0,1,0,"data scientist","na"
"Data Scientist",3.2,"TX","1001 - 5000","Company - Private","Brokerage Services","Finance","USAA, Navy Federal Credit Union, Raymond James Financial",0,64,106,85,63,1,1,1,1,0,1,"data scientist","na"
"Associate Scientist",2.9,"CA","1001 - 5000","Company - Private","Consumer Products Manufacturing","Manufacturing","The Nature's Bounty Co., Schiff Nutrition International",0,51,112,81.5,50,0,1,0,0,0,0,"other scientist","M"
"Scientist 2, QC Viral Vector",3.8,"CA","1001 - 5000","Company - Public","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","Genentech, Ultragenyx Pharmaceutical, Gilead Sciences",0,113,223,168,24,0,1,0,0,0,0,"other scientist","P"
"Machine Learning Engineer",4.3,"CO","1 - 50","Company - Private","Aerospace & Defense","Aerospace & Defense","-1",0,72,129,100.5,14,1,1,1,0,1,0,"machine learning engineer","na"
"Data Scientist/ML Engineer",3.4,"NY","1001 - 5000","Company - Private","Consulting","Business Services","McKinsey & Company, Accenture, Deloitte",0,71,123,97,78,1,1,1,0,0,1,"data scientist","M"
"Data Scientist",4.1,"VA","5001 - 10000","Company - Public","Research & Development","Business Services","-1",0,64,106,85,53,0,0,1,0,0,0,"data scientist","na"
"Customer Data Scientist",4.3,"CA","201 - 500","Company - Private","Enterprise Software & Network Solutions","Information Technology","-1",0,118,189,153.5,10,1,1,0,0,1,0,"data scientist","M"
"Data Engineer",5,"FL","51 - 200","Company - Private","IT Services","Information Technology","-1",0,120,145,132.5,4,0,0,0,0,0,0,"data engineer","na"
"Data Engineer",4.3,"IL","51 - 200","Company - Private","Computer Hardware & Software","Information Technology","Numerator, Rise Interactive, Salom",0,80,120,100,13,0,1,1,0,0,0,"data engineer","na"
"Sr. Data Scientist",3.7,"CO","201 - 500","Company - Private","Travel Agencies","Travel & Tourism","-1",0,80,130,105,10,1,0,1,0,0,0,"data scientist","M"
"Data Engineer 4 - Contract",4.2,"UT","10000+","Nonprofit Organization","Religious Organizations","Non-Profit","-1",0,59,115,87,-1,0,1,0,0,1,0,"data engineer","M"
"Data Analyst - Asset Management",4.3,"CA","51 - 200","Company - Private","Real Estate","Real Estate","Greystar, The Related Companies, Prometheus Real Estate Group",0,71,136,103.5,8,0,1,1,0,0,0,"analyst","na"
"Senior Research Scientist - Embedded System Development for DevOps",2.6,"PA","501 - 1000","College / University","Colleges & Universities","Education","-1",0,81,167,124,37,1,1,0,0,0,0,"other scientist","M"
"Data Scientist - Bioinformatics",3.8,"WA","1001 - 5000","Government","Energy","Oil, Gas, Energy & Utilities","Oak Ridge National Laboratory, National Renewable Energy Lab, Los Alamos National Laboratory",0,49,85,67,56,1,0,0,0,0,0,"data scientist","P"
"Data Engineer",3.9,"DC","10000+","Company - Private","IT Services","Information Technology","Slalom, Cognizant Technology Solutions, Deloitte",0,60,114,87,21,0,0,0,0,0,0,"data engineer","M"
"Customer Data Scientist/Sales Engineer",4.3,"IL","201 - 500","Company - Private","Enterprise Software & Network Solutions","Information Technology","-1",0,71,204,137.5,10,1,1,0,0,1,0,"data scientist","P"
"Lead Data Scientist",3.8,"OH","201 - 500","Company - Private","Advertising & Marketing","Business Services","Outcome Health, Health Media Network, Mesmerize Marketing",0,75,125,100,34,1,1,1,0,0,0,"data scientist","M"
"MongoDB Data Engineer II",3.8,"TN","5001 - 10000","Nonprofit Organization","Insurance Carriers","Insurance","-1",0,77,136,106.5,76,0,1,1,1,0,1,"data engineer","na"
"Senior Data Scientist Statistics",3.8,"WA","1001 - 5000","Government","Energy","Oil, Gas, Energy & Utilities","Oak Ridge National Laboratory, National Renewable Energy Lab, Los Alamos National Laboratory",0,74,123,98.5,56,0,0,0,0,0,0,"data scientist","P"
"Senior Data Analyst",4.8,"FL","501 - 1000","Company - Private","Security Services","Business Services","-1",0,44,78,61,11,1,1,1,0,0,0,"analyst","M"
"Senior Spark Engineer (Data Science)",4.4,"IN","51 - 200","Company - Private","Consulting","Business Services","-1",0,65,148,106.5,13,1,0,1,0,1,0,"data scientist","na"
